Hum5,Raf6,RaD29,Tav16,Tmi2,Tmx19
373.6,15.5,18.0,441.5,49.5,584.8
384.1,17.5,18.0,443.9,48.900000000000006,585.6999999999999
363.90000000000003,14.0,17.0,447.09999999999997,50.7,585.6999999999998
352.20000000000005,5.5,17.0,450.79999999999995,53.8,592.3
347.90000000000003,5.5,16.0,452.79999999999995,53.099999999999994,598.8
328.6,5.5,15.0,454.29999999999995,53.5,604.6
327.5,7.0,15.0,454.29999999999995,55.8,607.9
323.70000000000005,5.0,14.0,454.19999999999993,54.599999999999994,608.2
330.20000000000005,5.0,13.0,455.3999999999999,51.9,604.3
336.5,7.5,13.0,456.79999999999995,50.1,603.9
363.4,13.0,14.0,452.2,48.5,597.7
364.0,13.5,15.0,450.50000000000006,47.8,601.9999999999999
356.20000000000005,8.5,15.0,451.19999999999993,47.099999999999994,607.3
351.20000000000005,8.5,14.0,451.99999999999994,47.4,600.3000000000001
352.29999999999995,10.0,14.0,449.4,47.3,594.6000000000001
356.2,101.0,14.0,443.4,43.900000000000006,588.9
364.20000000000005,97.5,14.0,441.0,41.3,588.8000000000001
381.0,97.5,15.0,437.2,41.7,586.4000000000001
394.5,97.5,15.0,433.5,45.099999999999994,584.4
402.8,97.5,15.0,429.40000000000003,47.0,586.0
404.59999999999997,220.5,15.0,422.3,45.1,578.8
405.6,132.0,15.0,416.70000000000005,45.7,575.0
399.1,130.0,14.0,414.20000000000005,47.099999999999994,572.5999999999999
407.59999999999997,161.0,15.0,412.20000000000005,48.0,567.5
417.1,175.0,16.0,410.5000000000001,48.5,560.8
383.4,175.0,15.0,408.20000000000005,46.099999999999994,557.4
356.4,50.5,14.0,407.6,41.2,552.2
347.79999999999995,45.5,14.0,403.30000000000007,38.0,547.9
336.8,54.5,15.0,397.00000000000006,37.3,542.4
302.9,23.0,14.0,390.20000000000005,35.3,540.1
296.79999999999995,9.0,13.0,385.40000000000003,33.1,531.6
